REPOSITORY                                                       TAG                           IMAGE ID       CREATED         SIZE
192.168.2.100:5000/ubuntu                                        2204                          126e7b097f62   23 hours ago    963MB
192.168.2.100:5000/ceos                                          v4.35.1f                      a379336c41bd   12 days ago     2.2GB
192.168.2.100:5000/asteros_vpp                                   V6.1_R0101P02                 761e7a359115   2 weeks ago     1.33GB
192.168.2.100:5000/debian13                                      latest                        9cc95edd6781   2 weeks ago     743MB
quay.io/weiluo/frrouting/frr                                     10.5.0                        d418a04b6dc9   3 weeks ago     197MB
192.168.2.100:5000/sonic-vpp                                     latest                        6edbe36c920d   5 weeks ago     2.28GB
burlyluo/sonic-vs                                                vpp                           6edbe36c920d   5 weeks ago     2.28GB
192.168.2.100:5000/asteros_p03                                   latest                        340629000a69   6 weeks ago     3.51GB
192.168.2.100:5000/sonic                                         latest                        b5388b0b7101   7 weeks ago     6.34GB
192.168.2.100:5000/sonic                                         master                        b5388b0b7101   7 weeks ago     6.34GB
burlyluo/sonic-vs                                                latest                        b5388b0b7101   7 weeks ago     6.34GB
git.ipng.ch/ipng/vpp-containerlab                                latest                        4597b012d75c   2 months ago    884MB
192.168.2.100:5000/ipng                                          vpp-proto-bookworm-20250607   d330cc252226   2 months ago    4.15GB
192.168.2.100:5000/clab_ubuntu                                   2204                          f23b924d90f4   2 months ago    965MB
192.168.2.100:5000/sonic                                         202305                        7d89dace2755   2 months ago    2.25GB
quay.io/frrouting/frr                                            10.5.0                        8ea58782e01b   2 months ago    193MB
ghcr.io/srl-labs/clab-io-draw                                    latest                        3c1b20095dba   4 months ago    172MB
192.168.2.100:5000/ucni                                          latest                        e24158c978c4   9 months ago    268MB
burlyluo/kindest                                                 v1.27.3                       22b4c8277881   9 months ago    1.42GB
192.168.2.100:5000/nettool                                       latest                        2503b0a8ddbe   9 months ago    85.8MB
192.168.2.100:5000/sm                                            latest                        bbf3ab058997   14 months ago   579MB
192.168.2.100:5000/xcni                                          latest                        b101d04e3dec   14 months ago   316MB
192.168.2.100:5000/xcni_http_keepalive_timeout_0s                latest                        b101d04e3dec   14 months ago   316MB
192.168.2.100:5000/xcni_http_keepalive_timeout_500s              latest                        80143482a842   14 months ago   320MB
192.168.2.100:5000/ubuntu                                        20.04                         9df6d6105df2   17 months ago   72.8MB
192.168.2.100:5000/keepalived-2.0.8-haproxy-1.5.18               latest                        fd582a7457da   17 months ago   523MB
ghcr.io/siemens/ghostwire                                        latest                        18664310d22f   18 months ago   36.5MB
192.168.2.100:5000/k8snetworkplumbingwg/multus-cni               snapshot                      32bbffec9d56   18 months ago   411MB
192.168.2.100:5000/k8snetworkplumbingwg/whereabouts              latest                        c4033af76f42   18 months ago   113MB
192.168.2.100:5000/ghcr.io/mellanox/k8s-rdma-shared-dev-plugin   latest                        1d30b192a687   19 months ago   27.9MB
192.168.2.100:5000/ghcr.io/squat/generic-device-plugin           latest                        7aff9e34ce64   22 months ago   20.1MB
192.168.2.100:5000/vyos/vyos                                     1.4.9                         96c7bc5a1737   23 months ago   1.65GB
ghcr.io/siemens/packetflix                                       latest                        6bed7a0d2a95   23 months ago   122MB
kindest/node                                                     v1.27.3                       89e7dc9f9131   2 years ago     932MB
netreplica/graphite                                              latest                        6d52c47bb623   2 years ago     527MB
openwrt                                                          x86_64                        3d9db27509a6   2 years ago     223MB
rancher/local-path-provisioner                                   v0.0.24                       b29384aeb4b1   2 years ago     40.1MB
rancher/mirrored-metrics-server                                  v0.6.3                        817bbe3f2e51   2 years ago     68.9MB
rancher/mirrored-coredns-coredns                                 1.10.1                        ead0a4a53df8   2 years ago     53.6MB
192.168.2.100:5000/calico/kube-controllers                       v3.23.2                       ec95788d0f72   3 years ago     135MB
192.168.2.100:5000/calico/cni                                    v3.23.2                       a87d3f6f1b8f   3 years ago     263MB
192.168.2.100:5000/calico/node                                   v3.23.2                       a3447b26d32c   3 years ago     221MB
mitchv85/ohv-host                                                latest                        0538d6919fb1   3 years ago     1.28GB
rancher/mirrored-pause                                           3.6                           6270bb605e12   4 years ago     683kB
